"id"	"prov_id"	"prov_name"	"created_at"	"updated_at"
"1"	"1"	"ACEH"		
"2"	"2"	"SUMATERA UTARA"		
"3"	"3"	"SUMATERA BARAT"		
"4"	"4"	"RIAU"		
"5"	"5"	"JAMBI"		
"6"	"6"	"SUMATERA SELATAN"		
"7"	"7"	"BENGKULU"		
"8"	"8"	"LAMPUNG"		
"9"	"9"	"KEPULAUAN BANGKA BELITUNG"		
"10"	"10"	"KEPULAUAN RIAU"		
"11"	"11"	"DAERAH KHUSUS IBUKOTA JAKARTA"		
"12"	"12"	"JAWA BARAT"		
"13"	"13"	"JAWA TENGAH"		
"14"	"14"	"DAERAH ISTIMEWA YOGYAKARTA"		
"15"	"15"	"JAWA TIMUR"		
"16"	"16"	"BANTEN"		
"17"	"17"	"BALI"		
"18"	"18"	"NUSA TENGGARA BARAT"		
"19"	"19"	"NUSA TENGGARA TIMUR"		
"20"	"20"	"KALIMANTAN BARAT"		
"21"	"21"	"KALIMANTAN TENGAH"		
"22"	"22"	"KALIMANTAN SELATAN"		
"23"	"23"	"KALIMANTAN TIMUR"		
"24"	"24"	"KALIMANTAN UTARA"		
"25"	"25"	"SULAWESI UTARA"		
"26"	"26"	"SULAWESI TENGAH"		
"27"	"27"	"SULAWESI SELATAN"		
"28"	"28"	"SULAWESI TENGGARA"		
"29"	"29"	"GORONTALO"		
"30"	"30"	"SULAWESI BARAT"		
"31"	"31"	"MALUKU"		
"32"	"32"	"MALUKU UTARA"		
"33"	"33"	"PAPUA"		
"34"	"34"	"PAPUA BARAT"		
