"id"	"city_id"	"city_name"	"prov_id"	"created_at"	"updated_at"
"1"	"1"	"PIDIE JAYA"	"1"		
"2"	"2"	"SIMEULUE"	"1"		
"3"	"3"	"BIREUEN"	"1"		
"4"	"4"	"ACEH TIMUR"	"1"		
"5"	"5"	"ACEH UTARA"	"1"		
"6"	"6"	"PIDIE"	"1"		
"7"	"7"	"ACEH BARAT DAYA"	"1"		
"8"	"8"	"GAYO LUES"	"1"		
"9"	"9"	"ACEH SELATAN"	"1"		
"10"	"10"	"ACEH TAMIANG"	"1"		
"11"	"11"	"ACEH BESAR"	"1"		
"12"	"12"	"ACEH TENGGARA"	"1"		
"13"	"13"	"BENER MERIAH"	"1"		
"14"	"14"	"ACEH JAYA"	"1"		
"15"	"15"	"LHOKSEUMAWE"	"1"		
"16"	"16"	"ACEH BARAT"	"1"		
"17"	"17"	"NAGAN RAYA"	"1"		
"18"	"18"	"LANGSA"	"1"		
"19"	"19"	"BANDA ACEH"	"1"		
"20"	"20"	"ACEH SINGKIL"	"1"		
"21"	"21"	"SABANG"	"1"		
"22"	"22"	"ACEH TENGAH"	"1"		
"23"	"23"	"SUBULUSSALAM"	"1"		
"24"	"24"	"NIAS SELATAN"	"2"		
"25"	"25"	"MANDAILING NATAL"	"2"		
"26"	"26"	"DAIRI"	"2"		
"27"	"27"	"LABUHAN BATU UTARA"	"2"		
"28"	"28"	"TAPANULI UTARA"	"2"		
"29"	"29"	"SIMALUNGUN"	"2"		
"30"	"30"	"LANGKAT"	"2"		
"31"	"31"	"SERDANG BEDAGAI"	"2"		
"32"	"32"	"TAPANULI SELATAN"	"2"		
"33"	"33"	"ASAHAN"	"2"		
"34"	"34"	"PADANG LAWAS UTARA"	"2"		
"35"	"35"	"PADANG LAWAS"	"2"		
"36"	"36"	"LABUHAN BATU SELATAN"	"2"		
"37"	"37"	"PADANG SIDEMPUAN"	"2"		
"38"	"38"	"TOBA SAMOSIR"	"2"		
"39"	"39"	"TAPANULI TENGAH"	"2"		
"40"	"40"	"HUMBANG HASUNDUTAN"	"2"		
"41"	"41"	"SIBOLGA"	"2"		
"42"	"42"	"BATU BARA"	"2"		
"43"	"43"	"SAMOSIR"	"2"		
"44"	"44"	"PEMATANG SIANTAR"	"2"		
"45"	"45"	"LABUHAN BATU"	"2"		
"46"	"46"	"DELI SERDANG"	"2"		
"47"	"47"	"GUNUNGSITOLI"	"2"		
"48"	"48"	"NIAS UTARA"	"2"		
"49"	"49"	"NIAS"	"2"		
"50"	"50"	"KARO"	"2"		
"51"	"51"	"NIAS BARAT"	"2"		
"52"	"52"	"MEDAN"	"2"		
