"id"	"dis_id"	"dis_name"	"city_id"	"created_at"	"updated_at"
"1"	"1"	"BANDAR BARU"	"1"		
"2"	"2"	"TEUPAH TENGAH"	"2"		
"3"	"3"	"JULI"	"3"		
"4"	"4"	"MADAT"	"4"		
"5"	"5"	"JANGKA"	"3"		
"6"	"6"	"LHOKSUKON"	"5"		
"7"	"7"	"SAWANG"	"5"		
"8"	"8"	"JEUMPA"	"3"		
"9"	"9"	"PIDIE"	"6"		
"10"	"10"	"BANDAR DUA"	"1"		
"11"	"11"	"TANGAN-TANGAN"	"7"		
"12"	"12"	"PADANG TIJI"	"6"		
"13"	"13"	"BIREM BAYEUN"	"4"		
"14"	"14"	"BLANG KEJEREN"	"8"		
"15"	"15"	"PANTAN CUACA"	"8"		
"16"	"16"	"TAPAK TUAN"	"9"		
"17"	"17"	"SIMEULEU TIMUR"	"2"		
"18"	"18"	"SERUWAY"	"10"		
"19"	"19"	"SAMA DUA"	"9"		
"20"	"20"	"INGIN JAYA"	"11"		
"21"	"21"	"PEUKAN BADA"	"11"		
"22"	"22"	"BLANG PEGAYON"	"8"		
"23"	"23"	"LEUSER"	"12"		
"24"	"24"	"BLANG JERANGO"	"8"		
"25"	"25"	"KLUET TIMUR"	"9"		
"26"	"26"	"GAJAH PUTIH"	"13"		
"27"	"27"	"BABUSSALAM"	"12"		
"28"	"28"	"BABUL RAHMAH"	"12"		
"29"	"29"	"SYAMTALIRA BAYU"	"5"		
"30"	"30"	"SALANG"	"2"		
"31"	"31"	"TANAH PASIR"	"5"		
"32"	"32"	"KEUDE PANGA"	"14"		
"33"	"33"	"MUTIARA TIMUR"	"6"		
"34"	"34"	"TEUNOM"	"14"		
"35"	"35"	"BAKTIYA"	"5"		
"36"	"36"	"GEUREDONG PASE"	"5"		
"37"	"37"	"MUARA DUA"	"15"		
"38"	"38"	"SIMPANG KRAMAT (KERAMAT)"	"5"		
"39"	"39"	"ARONGAN LAMBALEK"	"16"		
"40"	"40"	"BUBON"	"16"		
"41"	"41"	"SAMALANGA"	"3"		
"42"	"42"	"MEUKEK"	"9"		
"43"	"43"	"SEUNUDDON (SEUNUDON)"	"5"		
"44"	"44"	"TADU RAYA"	"17"		
"45"	"45"	"PEUDAWA"	"4"		
"46"	"46"	"RANTO PEUREULAK"	"4"		
"47"	"47"	"DARUL MAKMUR"	"17"		
"48"	"48"	"LANGSA KOTA"	"18"		
"49"	"49"	"PAYA BAKONG"	"5"		
"50"	"50"	"NISAM"	"5"		
"51"	"51"	"WOYLA TIMUR"	"16"		
"52"	"52"	"WOYLA"	"16"		
"53"	"53"	"PEUREULAK TIMUR"	"4"		
"54"	"54"	"PEUREULAK BARAT"	"4"		
"55"	"55"	"SIMPANG ULIM"	"4"		
"56"	"56"	"SEUNAGAN"	"17"		
"57"	"57"	"NIBONG"	"5"		
"58"	"58"	"PIRAK TIMUR"	"5"		
"59"	"59"	"TANGSE"	"6"		
"60"	"60"	"BENDAHARA"	"10"		
"61"	"61"	"JULOK"	"4"		
"62"	"62"	"DARUL AMAN"	"4"		
"63"	"63"	"SETIA"	"7"		
"64"	"64"	"MEURAXA"	"19"		
"65"	"65"	"COT GIREK"	"5"		
"66"	"66"	"LANGSA BARO"	"18"		
"67"	"67"	"IDI RAYEUK"	"4"		
"68"	"68"	"PEUREULAK"	"4"		
"69"	"69"	"LANGKAHAN"	"5"		
"70"	"70"	"MAKMUR"	"3"		
"71"	"71"	"MATANGKULI"	"5"		
"72"	"72"	"DARUL HIKMAH"	"14"		
